id,date,kick_off,status,video,tagging,competitionName,home_team,away_team,home_team_main_conference,away_team_main_conference,customers,notes
5194843,07/04/21,22:00:00,Cancelled,-,-,Big South,-2433 - Longwood Lancers,-2429 - Radford Highlanders,Big South,Big South,1,video:  others: 
5201956,07/04/21,22:00:00,Played,2021-04-08 09:08:22,2021-04-08 19:31:55,Atlantic 10,-2988 - Saint Joseph's Hawks,-2976 - La Salle Explorers,Atlantic 10,Atlantic 10,0,video: T: signal issues at 40:31 ( 3 sec long ) - easy - taggable others: tag so
5201649,07/04/21,23:00:00,Played,2021-04-08 07:51:22,2021-04-08 14:01:26,Patriot League,33006 - Navy Midshipmen,-2977 - Loyola Maryland GreyHounds,Patriot League,Patriot League,2,video:  others: 
5205627,07/04/21,23:00:00,Played,2021-04-08 10:42:17,2021-04-08 19:24:43,Mid-American,-2377 - Akron Zips,-2374 - West Virginia Mountaineers,Mid-American,Mid-American,2,video:  others: 
5201405,08/04/21,0:00:00,Played,-,-,Missouri Valley (W),-7842 - UNI Panthers,-7838 - Drake Bulldogs,Missouri Valley (W),Missouri Valley (W),0,video:  others: 
5216889,08/04/21,14:00:00,Played,-,-,Southwestern Athletic (W),-7949 - Alcorn St. Braves,-7942 - ASU Hornets,Southwestern Athletic (W),Southwestern Athletic (W),0,video:  others: 
5195525,08/04/21,16:00:00,Played,-,-,Big East (W),-7732 - Butler Bulldogs,-7733 - Creighton Bluejays,Big East (W),Big East (W),0,video:  others: 
5216873,08/04/21,16:00:00,Cancelled,-,-,Metro Atlantic Athletic Conference,-2942 - Canisius Golden Griffins,-3016 - Marist Red Foxes,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,2,video:  others: 
5216921,08/04/21,16:00:00,Played,2021-04-08 23:11:17,2021-04-09 09:52:10,Big Ten (W),-7761 - Ohio State Buckeyes,-7769 - Maryland College Park Terrapins,Big Ten (W),Big Ten (W),2,video:  others: 
5216890,08/04/21,16:30:00,Played,-,-,Southwestern Athletic (W),-7941 - TSU Tigers,-7944 - JSU Tigers,Southwestern Athletic (W),Southwestern Athletic (W),0,video:  others: 
